mazi,muzari,masdar,ismAlFail,ismAlMafool,amr
غَفَرَ,يَغْفِرُ,غُفُرٌ,غَافِرٌ,مَغْفُورٌ,اِغْفِرْ
غَفَّرَ,يُغَفِّرُ,تَغْفِيرٌ,مُغَفِّرٌ,مُغَفَّرٌ,غَفِّرْ
غَافَرَ,يُغَافِرُ,مُغَافَرَةٌ / غِفَارٌ,مُغَافِرٌ,مُغَافَرٌ,غَافِرْ
أَغْفَرَ,يُغْفِرُ,إِغْفَارٌ,مُغْفِرٌ,مُغْفَرٌ,أَغْفِرْ
تَغَفَّرَ,يَتَغَفَّرُ,تَغَفُّرٌ,مُتَغَفِّرٌ,مُتَغَفَّرٌ,تَغَفَّرْ
تَغَافَرَ,يَتَغَافَرُ,تَغَافُرٌ,مُتَغَافِرٌ,مُتَغَافَرٌ,تَغَافَرْ
اِنْغَفَرَ,يَنْغَفِرُ,اِنْغِفَارٌ,مُنْغَفِرٌ,مُنْغَفَرٌ,اِنْغَفِرْ
اِغْتَفَرَ,يَغْتَفِرُ,اِغْتِفَارٌ,مُغْتَفِرٌ,مُغْتَفَرٌ,اِغْتَفِرْ
اِغْفَرَّ,يَغْفَرُّ,اِغْفِرَارٌ,مُغْفَرٌّ / مُغْفَرِلٌ,مُغْفَرٌّ / مُغْفَرَلٌ,اِغْفَرِلْ
اِسْتَغْفَرَ,يَسْتَغْفِرُ,اِسْتِغْفَارٌ,مُسْتَغْفِرٌ,مُسْتَغْفَرٌ,اِسْتَغْفِرْ
