tense,cem,tesniye,ferd,person
mazi,فَرَرْنَا,,فَرَرْتُ,1
mazi,فَرَرْتُمْ,فَرَرْتُمَا,فَرَرْتَ,2-muzekker
mazi,فَرَرْتُنَّ,فَرَرْتُمَا,فَرَرْتِ,2-muennes
mazi,فَرُّوا,فَرَّا,فَرَّ,3-muzekker
mazi,فَرَرْنَ,فَرَّتَا,فَرَّتْ,3-muennes
muzari,نَفِرُّ,,أَفِرُّ,1
muzari,تَفِرُّونَ,تَفِرَّانِ,تَفِرُّ,2-muzekker
muzari,تَفْرِرْنَ,تَفِرَّانِ,تَفِرِّينَ,2-muennes
muzari,يَفِرُّونَ,يَفِرَّانِ,يَفِرُّ,3-muzekker
muzari,يَفْرِرْنَ,تَفِرَّانِ,تَفِرُّ,3-muennes
amr,لِنَفِرَّ,,لِأَفِرَّ,1
amr,لِتَفِرُّو,لِتَفِرَّا,لِتَفِرَّ,2-muzekker
amr,لِتَفْرِرْنَ,لِتَفِرَّا,لِتَفِرِّي,2-muennes
amr,فِرُّوا,فِرَّا,فِرَّ,2-muzekker-modern
amr,اِفْرِرْنَ,فِرَّا,فِرِّي,2-muennes-modern
amr,لِيَفِرُّوا,لِيَفِرَّا,لِيَفِرَّ,3-muzekker
amr,لِيَفْرِرْنَ,لِتَفِرَّا,لِتَفِرَّ,3-muennes
mustaqbal-qarib,سَنَفِرُّ,,سَأَفِرُّ,1
mustaqbal-qarib,سَتَفِرُّونَ,سَتَفِرَّانِ,سَتَفِرُّ,2-muzekker
mustaqbal-qarib,سَتَفْرِرْنَ,سَتَفِرَّانِ,سَتَفِرِّينَ,2-muennes
mustaqbal-qarib,سَيَفِرُّونَ,سَيَفِرَّانِ,سَيَفِرُّ,3-muzekker
mustaqbal-qarib,سَيَفْرِرْنَ,سَتَفِرَّانِ,سَتَفِرُّ,3-muennes
mustaqbal-baeed,سَوْفَ نَفِرُّ,,سَوْفَ أَفِرُّ,1
mustaqbal-baeed,سَوْفَ تَفِرُّونَ,سَوْفَ تَفِرَّانِ,سَوْفَ تَفِرُّ,2-muzekker
mustaqbal-baeed,سَوْفَ تَفْرِرْنَ,سَوْفَ تَفِرَّانِ,سَوْفَ تَفِرِّينَ,2-muennes
mustaqbal-baeed,سَوْفَ يَفِرُّونَ,سَوْفَ يَفِرَّانِ,سَوْفَ يَفِرُّ,3-muzekker
mustaqbal-baeed,سَوْفَ يَفْرِرْنَ,سَوْفَ تَفِرَّانِ,سَوْفَ تَفِرُّ,3-muennes
