tense,cem,tesniye,ferd,person
mazi,أَخَذْنَا,,أَخَذْتُ,1
mazi,أَخَذْتُمْ,أَخَذْتُمَا,أَخَذْتَ,2-muzekker
mazi,أَخَذْتُنَّ,أَخَذْتُمَا,أَخَذْتِ,2-muennes
mazi,أَخَذُوا,أَخَذَا,أَخَذَ,3-muzekker
mazi,أَخَذْنَ,أَخَذَتَا,أَخَذَتْ,3-muennes
muzari,نَأْخُذُ,,أَخُذُ,1
muzari,تَأْخُذُونَ,تَأْخُذَانِ,تَأْخُذُ,2-muzekker
muzari,تَأْخُذْنَ,تَأْخُذَانِ,تَأْخُذِينَ,2-muennes
muzari,يَأْخُذُونَ,يَأْخُذَانِ,يَأْخُذُ,3-muzekker
muzari,يَأْخُذْنَ,تَأْخُذَانِ,تَأْخُذُ,3-muennes
amr,لِنَأْخُذْ,,لِأَخُذْ,1
amr,لِتَأْخُذُوا,لِتَأْخُذَا,لِتَأْخُذْ,2-muzekker
amr,لِتَأْخُذْنَ,ِلِتَأْخُذَا,لِتَأْخُذِي,2-muennes
amr,خُذُو,خُذَا,خُذْ,2-muzekker-modern
amr,خُذْنَ,خُذَا,خُذِي,2-muennes-modern
amr,لِيَأْخُذُوا,لِيَأْخُذَا,لِيَأْخُذْ,3-muzekker
amr,لِيَأْخُذْنَ,لِتَأْخُذَا,لِتَأْخُذْ,3-muennes
mustaqbal-qarib,سَنَأْخُذُ,,سَأَخُذُ,1
mustaqbal-qarib,سَتَأْخُذُونَ,سَتَأْخُذَانِ,سَتَأْخُذُ,2-muzekker
mustaqbal-qarib,سَتَأْخُذْنَ,سَتَأْخُذَانِ,سَتَأْخُذِينَ,2-muennes
mustaqbal-qarib,سَيَأْخُذُونَ,سَيَأْخُذَانِ,سَيَأْخُذُ,3-muzekker
mustaqbal-qarib,سَيَأْخُذْنَ,سَتَأْخُذَانِ,سَتَأْخُذُ,3-muennes
mustaqbal-baeed,سَوْفَ نَأْخُذُ,,سَوْفَ أَخُذُ,1
mustaqbal-baeed,سَوْفَ تَأْخُذُونَ,سَوْفَ تَأْخُذَانِ,سَوْفَ تَأْخُذُ,2-muzekker
mustaqbal-baeed,سَوْفَ تَأْخُذْنَ,سَوْفَ تَأْخُذَانِ,سَوْفَ تَأْخُذِينَ,2-muennes
mustaqbal-baeed,سَوْفَ يَأْخُذُونَ,سَوْفَ يَأْخُذَانِ,سَوْفَ يَأْخُذُ,3-muzekker
mustaqbal-baeed,سَوْفَ يَأْخُذْنَ,سَوْفَ تَأْخُذَانِ,سَوْفَ تَأْخُذُ,3-muennes
